TripKey,TripNumber,dDate,Recorder,Vessel,TripData.TimeStart,TripData.TimeEnd,Camera,Beaufort,WindDirection,WindSpeed (mph),CloudPer,AirTemp (C),Surface Temp (C),20mTemp (C),Tide,Sightings?,WaveHeight (m),Gen Area,Visibility (km),SightingN,Species,GroupSize,SightingsData.TimeStart,SightingsData.TimeEnd,Latitude,Longitude,Range,Bearing,Comments
611,1,14-Aug-17,Natalie Hunter,Atlanticat,8:37:00 AM,12:18:00 PM,Canon 60D,1,SW,6,30,15.1,11.8,,Ebb,FALSE,1,,,1,La,15,10:16:00 AM,10:22:00 AM,44.16,67.76,6,310,
612,2,14-Aug-17,Natalie Hunter,Atlanticat,1:07:00 PM,3:40:00 PM,Canon 60D,2,SW,8,50,14.3,12.1,,Flood,TRUE,1,,,2,La,50,2:00:00 PM,2:55:00 PM,44.13,67.85,15,150,
615,1,18-Aug-17,Liz Virgl,Atlanticat,9:54:00 AM,11:11:00 AM,Canon 60D,1,ESE,7,99,13.6,11.6,0,Ebb,TRUE,1,,,1,La,30,10:45:00 AM,10:51:00 AM,44.08,67.87,300,150,
616,2,18-Aug-17,Liz Virgl,Atlanticat,1:48:00 PM,3:03:00 PM,Canon 60D,2,SE,8,100,13.5,11.7,0,Slack,TRUE,1,,,1,La,200,2:00:00 PM,2:10:00 PM,44.04,68.16,800,50,
622,1,28-Aug-17,Lauri Leach,Friendship V,8:30:00 AM,11:35:00 AM,Canon 60D,2,NE,7,0,12.7,12.6,0,Ebb,TRUE,0,,,1,La,10,9:16:00 AM,9:25:00 AM,44.14,67.86,400,130,
622,1,28-Aug-17,Lauri Leach,Friendship V,8:30:00 AM,11:35:00 AM,Canon 60D,2,NE,7,0,12.7,12.6,0,Ebb,TRUE,0,,,2,La,100,9:35:00 AM,9:44:00 AM,44.11,67.83,1600,270,
622,1,28-Aug-17,Lauri Leach,Friendship V,8:30:00 AM,11:35:00 AM,Canon 60D,2,NE,7,0,12.7,12.6,0,Ebb,TRUE,0,,,5,La,15,10:50:00 AM,10:50:00 AM,44.14,67.85,100,0,
625,1,29-Aug-17,Lauri Leach,Friendship V,8:30:00 AM,12:00:00 PM,Canon 60D,1,S,2,40,14.2,11.7,0,Ebb,TRUE,0,,,2,La,12,9:46:00 AM,9:55:00 AM,44.11,67.83,400,160,
629,2,30-Aug-17,Lauri Leach,Friendship V,1:00:00 PM,4:25:00 PM,Canon 60D,2,NE,7,100,12.6,11.9,0,Flood,TRUE,1,,,1,La,200,3:09:00 PM,3:24:00 PM,43.97,68.11,1600,170,
631,3,26-Aug-17,Liz Virgl,Friendship V,5:16:00 PM,6:33:00 PM,Canon 60D,2,SW,9,50,15.1,12.8,0,Ebb,TRUE,0,,,1,La,50,5:21:00 PM,5:24:00 PM,44.17,67.87,120,330,
631,3,26-Aug-17,Liz Virgl,Friendship V,5:16:00 PM,6:33:00 PM,Canon 60D,2,SW,9,50,15.1,12.8,0,Ebb,TRUE,0,,,4,La,200,5:50:00 PM,6:33:00 PM,44.12,67.80,,,
633,1,27-Aug-17,Liz Virgl,Friendship V,9:13:00 AM,11:20:00 AM,Canon 60D,0,NNE,3,30,13.5,11.3,0,Ebb,TRUE,0,,,1,La,100,9:18:00 AM,9:25:00 AM,44.13,67.68,50,120,
633,1,27-Aug-17,Liz Virgl,Friendship V,9:13:00 AM,11:20:00 AM,Canon 60D,0,NNE,3,30,13.5,11.3,0,Ebb,TRUE,0,,,2,Pp,30,10:20:00 AM,10:25:00 AM,44.25,67.68,50,120,
633,1,27-Aug-17,Liz Virgl,Friendship V,9:13:00 AM,11:20:00 AM,Canon 60D,0,NNE,3,30,13.5,11.3,0,Ebb,TRUE,0,,,3,La,50,10:46:00 AM,10:50:00 AM,44.13,67.82,100,30,
634,1,03-Sep-17,Lauri Leach,Atlanticat,8:30:00 AM,11:50:00 AM,Canon 60D,4,SE,11,100,13.2,11.8,0,Slack,TRUE,0,,,2,La,5,9:33:00 AM,9:42:00 AM,44.16,-67.86,50,170,
824,2,29-Jun-19,Nicole Pegg,Friendship V,1:00:00 PM,5:40:00 PM,Canon 60D,1,NE,4,100,11.3,9.8,7.5,Ebb,TRUE,0,Grand Manan,2.92729,1,Lal,10,2:45:00 PM,2:50:00 PM,44.23,-67.68,60,,
